ID,BusinessUnit,Effective Date,Document Language,BaseURL,Name,POPPIsArchived,Uploaded By,DocumentID,Document TYPE,POPPIsActive,Approval Status,Uploaded On,Document Template,Copy PPM Archived Documents,Planned Review Date,Item Type,Path,Document ID Value
3854,669;#Programme and Project Management,,English,https://popp.undp.org/UNDP_POPP_DOCUMENT_LIBRARY/Public/,PPM_UNDP Institutional Effectiveness Project Document Template.doc,FALSE,Pablo Morete,<a href='/_Layouts/15/POPPOpenDoc.aspx?ID=UNDPGBL-229-67'>UNDPGBL-229-67</a>,Template,TRUE,Approved,2022-11-04 18:39,,,,Item,UNDP_POPP_DOCUMENT_LIBRARY/Public,
1599,350;#Financial Resources Management,,English,https://popp.undp.org/UNDP_POPP_DOCUMENT_LIBRARY/Public/,UNDP Financial Regulations and Rules.pdf,FALSE,Emiliana Zhivkova,<a href='/_Layouts/15/POPPOpenDoc.aspx?ID=POPP-11-1599'>POPP-11-1599</a>,Regulation,TRUE,Approved,2022-11-03 17:58,,,,Item,UNDP_POPP_DOCUMENT_LIBRARY/Public,
2240,349;#Human Resources Management,2020-10-01,English,https://popp.undp.org/UNDP_POPP_DOCUMENT_LIBRARY/Public/,UN Staff Rules and Regulations.docx,FALSE,Pablo Morete,<a href='/_Layouts/15/POPPOpenDoc.aspx?ID=POPP-11-2240'>POPP-11-2240</a>,Regulation,TRUE,Approved,2022-11-03 17:58,,,,Item,UNDP_POPP_DOCUMENT_LIBRARY/Public,
3702,,,English,https://popp.undp.org/UNDP_POPP_DOCUMENT_LIBRARY/Public/,UNDP Financial Regulations and Rules 5.7.pdf,FALSE,Pablo Morete,<a href='/_Layouts/15/POPPOpenDoc.aspx?ID=POPP-11-3702'>POPP-11-3702</a>,Regulation,TRUE,Approved,2022-11-03 17:58,,,,Item,UNDP_POPP_DOCUMENT_LIBRARY/Public,
3851,,,English,https://popp.undp.org/UNDP_POPP_DOCUMENT_LIBRARY/Public/,UNDP Financial Regulations and Rules5.docx,FALSE,Pablo Morete,<a href='/_Layouts/15/POPPOpenDoc.aspx?ID=POPP-11-3851'>POPP-11-3851</a>,Template,TRUE,Approved,2022-11-03 17:40,,,,Item,UNDP_POPP_DOCUMENT_LIBRARY/Public,
2498,356;#Accountability,2020-04-12,English,https://popp.undp.org/UNDP_POPP_DOCUMENT_LIBRARY/Public/,AC_Accountability_Information Disclosure.docx,FALSE,Emiliana Zhivkova,<a href='/_Layouts/15/POPPOpenDoc.aspx?ID=POPP-11-2498'>POPP-11-2498</a>,Policy,TRUE,Approved,2022-11-01 19:49,,,2022-04-12,Item,UNDP_POPP_DOCUMENT_LIBRARY/Public,
3535,356;#Accountability,,English,https://popp.undp.org/UNDP_POPP_DOCUMENT_LIBRARY/Public/,AC_Accountability_Internal Control Framework_Operational Guide.docx,FALSE,Pablo Morete,<a href='/_Layouts/15/POPPOpenDoc.aspx?ID=POPP-11-3535'>POPP-11-3535</a>,Policy,TRUE,Approved,2022-11-01 9:50,,,,Item,UNDP_POPP_DOCUMENT_LIBRARY/Public,
2003,350;#Financial Resources Management,2011-12-31,English,https://popp.undp.org/UNDP_POPP_DOCUMENT_LIBRARY/Public/,FRM_Expense Management _Hospitality Expense.docx,FALSE,Pablo Morete,<a href='/_Layouts/15/POPPOpenDoc.aspx?ID=POPP-11-2003'>POPP-11-2003</a>,Policy,TRUE,Approved,2022-10-21 17:08,,,,Item,UNDP_POPP_DOCUMENT_LIBRARY/Public,
2511,350;#Financial Resources Management,,English,https://popp.undp.org/UNDP_POPP_DOCUMENT_LIBRARY/Public/,FRM_Pipeline and Revenue Management_Other Resources_Memorandum for the Provision of Services (MPS).docx,FALSE,Pablo Morete,<a href='/_Layouts/15/POPPOpenDoc.aspx?ID=POPP-11-2511'>POPP-11-2511</a>,Policy,TRUE,Approved,2022-10-21 16:51,,,,Item,UNDP_POPP_DOCUMENT_LIBRARY/Public,
3229,431;#Information and Communications Technology,2020-05-04,English,https://popp.undp.org/UNDP_POPP_DOCUMENT_LIBRARY/Public/,ICT_Security_Electronic Signatures Policy.docx,FALSE,Pablo Morete,<a href='/_Layouts/15/POPPOpenDoc.aspx?ID=POPP-11-3229'>POPP-11-3229</a>,Policy,TRUE,Approved,2022-10-19 16:12,,,2022-12-01,Item,UNDP_POPP_DOCUMENT_LIBRARY/Public,
