ID,Document Language,Name,FileType,URL
3854,English,PPM_UNDP Institutional Effectiveness Project Document Template.doc,doc,https://popp.undp.org/UNDP_POPP_DOCUMENT_LIBRARY/Public/PPM_UNDP Institutional Effectiveness Project Document Template.doc
1599,English,UNDP Financial Regulations and Rules.pdf,pdf,https://popp.undp.org/UNDP_POPP_DOCUMENT_LIBRARY/Public/UNDP Financial Regulations and Rules.pdf
2240,English,UN Staff Rules and Regulations.docx,docx,https://popp.undp.org/UNDP_POPP_DOCUMENT_LIBRARY/Public/UN Staff Rules and Regulations.docx
3702,English,UNDP Financial Regulations and Rules 5.7.pdf,pdf,https://popp.undp.org/UNDP_POPP_DOCUMENT_LIBRARY/Public/UNDP Financial Regulations and Rules 5.7.pdf
3851,English,UNDP Financial Regulations and Rules5.docx,docx,https://popp.undp.org/UNDP_POPP_DOCUMENT_LIBRARY/Public/UNDP Financial Regulations and Rules5.docx
2498,English,AC_Accountability_Information Disclosure.docx,docx,https://popp.undp.org/UNDP_POPP_DOCUMENT_LIBRARY/Public/AC_Accountability_Information Disclosure.docx
3535,English,AC_Accountability_Internal Control Framework_Operational Guide.docx,docx,https://popp.undp.org/UNDP_POPP_DOCUMENT_LIBRARY/Public/AC_Accountability_Internal Control Framework_Operational Guide.docx
2003,English,FRM_Expense Management _Hospitality Expense.docx,docx,https://popp.undp.org/UNDP_POPP_DOCUMENT_LIBRARY/Public/FRM_Expense Management _Hospitality Expense.docx
2511,English,FRM_Pipeline and Revenue Management_Other Resources_Memorandum for the Provision of Services (MPS).docx,docx,https://popp.undp.org/UNDP_POPP_DOCUMENT_LIBRARY/Public/FRM_Pipeline and Revenue Management_Other Resources_Memorandum for the Provision of Services (MPS).docx
3229,English,ICT_Security_Electronic Signatures Policy.docx,docx,https://popp.undp.org/UNDP_POPP_DOCUMENT_LIBRARY/Public/ICT_Security_Electronic Signatures Policy.docx
3852,English,PPM_GCF RACI.docx,docx,https://popp.undp.org/UNDP_POPP_DOCUMENT_LIBRARY/Public/PPM_GCF RACI.docx
3630,English,PPM_GEF RACI for NIM Projects.docx,docx,https://popp.undp.org/UNDP_POPP_DOCUMENT_LIBRARY/Public/PPM_GEF RACI for NIM Projects.docx
2615,English,PPM_Programming Standards_Formulate Programmes and Projects.docx,docx,https://popp.undp.org/UNDP_POPP_DOCUMENT_LIBRARY/Public/PPM_Programming Standards_Formulate Programmes and Projects.docx
2176,English,HR_Non-staff_Internship.docx,docx,https://popp.undp.org/UNDP_POPP_DOCUMENT_LIBRARY/Public/HR_Non-staff_Internship.docx
2950,Spanish,PPM_Design_Select Responsible Party and Grantees_Spanish.docx,docx,https://popp.undp.org/UNDP_POPP_DOCUMENT_LIBRARY/Public/PPM_Design_Select Responsible Party and Grantees_Spanish.docx
2633,English,PPM_Design_Select Responsible Party and Grantees.docx,docx,https://popp.undp.org/UNDP_POPP_DOCUMENT_LIBRARY/Public/PPM_Design_Select Responsible Party and Grantees.docx
